Code,Function,Class,SubClass,Detail,Description,Example Document Types,Category Mapping
3.1.1,Student Services,Food Services,Compliance,,"Meeting of regulatory requirements, including registration of food premises, assessments, inspections, food safety program, incident (e.g. contamination, poisoning) management.",Registration certificates (or equivalent); assessment reports; food safety program,3.1  Food Services
3.1.2,Student Services,Food Services,Operations,,"Routine running of food services, including stock management, equipment monitoring",Inventories; equipment monitoring results,3.1  Food Services
3.2.1,Student Services,Out Of Hours Care ,Attendance,,Registration of students attending out of hours care. ,,3.2  Out Of Hours Care
3.2.2,Student Services,Out Of Hours Care ,Activities,,"Development and provision of programs, activities",,3.2  Out Of Hours Care
3.2.3,Student Services,Out Of Hours Care ,External Services,,Management and monitoring of external organisations providing of out of hours care  on behalf of the school.,"Tenders, appointment, contracts, service level agreements",3.2  Out Of Hours Care
3.3.1,Student Services,Health And Welfare,Program Development And Monitoring,,"Research, development and articulation of health and welfare programs for all students, or specific categories of student.","Final versions of program, statistics and supporting data, monitoring and evaluation records, implementation plans",3.3  Health And Welfare
3.3.2,Student Services,Health And Welfare,Program Operation,,Routine delivery of a health and welfare program or project ,"Delivery plans, progress reports, meeting records",3.3  Health And Welfare
3.3.3,Student Services,Health And Welfare,Summary Health Data,,"Summary data relating to programs administered, e.g. vaccination.",Vaccination register,3.3  Health And Welfare
3.4.1,Student Services,Accomodation,Successful,,Successful applications for accommodation services,"Applications, code of conduct",3.4  Accomodation
3.4.2,Student Services,Accomodation,Unsuccessful,,Withdrawn or unsuccessful applications for accommodation services.,Applications,3.4  Accomodation
3.5,Student Services,Careers,,,"Provision of career advice, programs, information, services and events.",,3.5  Careers
3.6,Student Services,Library,,,"Provision of library services, including collection acquisition, management (including loans), deaccessioning and student and staff support.","Collection management records, guides/ instructions, lists of acquisitions and disposals, loan records",3.6  Library
3.7,Student Services,School Animal & Crop Management,,,"Activities relating to the breeding, care, use, and disposal of animals and animal body parts or specimens, and the planting, use, disposal of plant material or specimens for educational purposes.","Records relating to animal or property acquisition and disposal, permits, chemical management, disease and pest control, storage facilities, quarantine, scientific use, plant disposal, soil tests",3.7  School Animal & Crop Management
4.1.1,Student Management,Student Master Record,Indigenous Students,,Summary record for students of Aboriginal or Torres Strait Islander origin,,4.1  Student Master Record
4.1.2,Student Management,Student Master Record,Students in OutofHome Care,,"Summary for students who are living, or have lived in orphanages, children's homes or with alternative caregivers.",,4.1  Student Master Record
4.1.3,Student Management,Student Master Record,Other Students,,"Summary for students who are not Indigenous, or are living or have lived in outofhomecare.",,4.1  Student Master Record
4.1.4,Student Management,Student Master Record,Supporting Records For Student Master Record,,Supporting records for individual students covering a range of student management activities  where a summary exists,,4.1  Student Master Record
4.2.1,Student Management,Admissions,Summary,,"Summary of admissions/enrolments, and summary of departures pre Year 12",Admissions register,"4.2  Admissions, 4.2  Admissions  GSR"
4.2.2,Student Management,Admissions,Individual  Successful,,Individual student enrolment records  successful ,Application and supporting documentation; decision; appeals,"4.2  Admissions, 4.2  Admissions  GSR"
4.2.3,Student Management,Admissions,Individual  Departures,,"Individual student departure records, pre Year 12 ",,"4.2  Admissions, 4.2  Admissions  GSR"
4.2.4,Student Management,Admissions,Individual  Unsuccessful,,Individual student enrolment records  unsuccessful  Applications for enrolment that are unsuccessful or the applicants did not commence at the school.,Application and supporting documentation; decision; appeals; notifications and consents from parents,"4.2  Admissions, 4.2  Admissions  GSR"
4.3,Student Management,Attendance,,,Management of student attendance and absences. Includes movement of students in and out of their accommodation,Attendance,4.3  Attendance
4.4.1,Student Management,Financial Assistance,Establishment,,"Establishment of financial assistance programs, e.g. a scholarship. ",,"4.4  Financial Assistance, 4.4  Financial Assistance  GSR"
4.4.2,Student Management,Financial Assistance,Program Management,,Management and administration of financial assistance programs ,,"4.4  Financial Assistance, 4.4  Financial Assistance  GSR"
4.4.3,Student Management,Financial Assistance,Individual Awards,,"Award of financial assistance to specific students, e.g  a scholarship, an allowance",,"4.4  Financial Assistance, 4.4  Financial Assistance  GSR"
4.5.1,Student Management,Awards,Establishment,,"Establishment of awards. Includes communication with donors/sponsors, summary records of awards granted or posts held, successful applications, nominations, records of the decision making process.  ",,"4.5  Awards, 4.5  Awards  GSR"
4.5.2,Student Management,Awards,Summaries,,Awards received by all students,Annual lists; honour boards; registers of school captains and prefects,"4.5  Awards, 4.5  Awards  GSR"
4.5.3,Student Management,Awards,Individual Awards,,"Individual student awards, posts etc.  If a summary record is maintained",,"4.5  Awards, 4.5  Awards  GSR"
4.6.1.1,Student Management,Health and Welfare,Accidents and Incidents,Register,"Accidents, injuries, incidents, illness and notifiable disease",Accident register; first aid register; sick bay register; infectious disease register,"4.6  Health and Welfare, 4.6  Health and Welfare  GSR"
4.6.1.2,Student Management,Health and Welfare,Accidents and Incidents,Investigations,"Reports and investigations of accidents, injuries, incidents and illness. Includes suspected event sustained at home in which the school becomes involved.",Investigations and reports,"4.6  Health and Welfare, 4.6  Health and Welfare  GSR"
4.6.2,Student Management,Health and Welfare,Student Medical and Welfare History,,"Records of all physical, psychological treatment, pastoral care and support given to a student.  Includes counselling, advice and therapy",Case notes; reports; assessments and observations; meeting notes; treatment records,"4.6  Health and Welfare, 4.6  Health and Welfare  GSR"
4.7.1,Student Management,Child Protection,Cases,,"Notifications, allegations, investigations and reports, and any related records where a person reasonably suspects harm or a risk of harm to a student, including action taken.  Includes management of students subject to a relevant court order (e.g. child protection order)","Reports  formal and informal; records of investigations; recommendations; documentation of action taken;attendance; leave and travel records; personnel files; counselling or discipline records; referrals to and reviews of actions; cases or decisions by external authorities; records of claims; assessments; reviews and appeals for individuals; interventions; support or compensation and attempted or successful redress; counselling, mediation and medical records","4.7  Child Protection, 4.7  Child Protection  GSR"
4.7.2,Student Management,Child Protection,Host Families,,Selection and screening of host families for exchange students and international  students,,"4.7  Child Protection, 4.7  Child Protection  GSR"
4.8.1,Student Management,Behaviour,Significant Events,,"Significant events, cases or activities, which may result in student suspensions, expulsions or prosecutions through Court",,4.8  Behaviour
4.8.2,Student Management,Behaviour,Routine Events,,"Routine events, cases or activities",,4.8  Behaviour
4.9,Student Management,Home Schooling,,,Management of students seeking exemption to be schooled from home,Copies of parent application to the relevant authority; student details; communications regarding approval/ non approval,4.9  Home Schooling
4.10,Student Management,Work Experience,,,"Arrangements for, and monitoring of individual student work experience or practical placements.  Includes screening of host employer and supervisors",Agreements with placement hosts; course/work structure; parent/guardian permissions; applications; evaluations; host reports,4.10  Work Experience
4.11.1,Student Management,CoCurricular Activities,Program Establishment,,Establishment and major review of specific programs,,"4.11  CoCurricular Activities, 4.11  CoCurricular Activities  GSR"
4.11.2,Student Management,CoCurricular Activities,House,,"Identification, membership, reports of houses",,"4.11  CoCurricular Activities, 4.11  CoCurricular Activities  GSR"
4.11.3.1,Student Management,CoCurricular Activities,Excursions,Arrangements,"Logistical and administrative arrangements for an excursion, visit etc. ",Plans; schedules; transport bookings; advices to parents/ guardians,"4.11  CoCurricular Activities, 4.11  CoCurricular Activities  GSR"
4.11.3.2,Student Management,CoCurricular Activities,Excursions,Student Participation,"Records of participation of students in camps, visits etc",Parent/guardian permissions; applications (e.g. for overseas trips); photographs,"4.11  CoCurricular Activities, 4.11  CoCurricular Activities  GSR"
4.11.4.1,Student Management,CoCurricular Activities,Sports,Arrangements,Logistical and administrative arrangements,Team lists; rosters; results,"4.11  CoCurricular Activities, 4.11  CoCurricular Activities  GSR"
4.11.4.2,Student Management,CoCurricular Activities,Sports,Student Participation,Records of participation of students in sports and sporting events,Photographs; parent/ guardian permissions and approvals,"4.11  CoCurricular Activities, 4.11  CoCurricular Activities  GSR"
4.11.5.1,Student Management,CoCurricular Activities,Arts,Arrangements,Logistical and administrative arrangements.  ,Venue and support arrangements; schedules; tickets; programs; photographs,"4.11  CoCurricular Activities, 4.11  CoCurricular Activities  GSR"
4.11.5.2,Student Management,CoCurricular Activities,Arts,Student Participation,Records of participation of students in artistic events,Photographs,"4.11  CoCurricular Activities, 4.11  CoCurricular Activities  GSR"
4.11.6.1,Student Management,CoCurricular Activities,Service Learning,Arrangements,Logistical and administrative arrangements.  ,Activity plans; financial plans,"4.11  CoCurricular Activities, 4.11  CoCurricular Activities  GSR"
4.11.6.2,Student Management,CoCurricular Activities,Service Learning,Student Participation,Records of participation of students in community events,Parent/guardian permissions; photographs,"4.11  CoCurricular Activities, 4.11  CoCurricular Activities  GSR"
5.1.1,Teaching and Learning,Curriculum,Major Programs,,Research and development of programs that have a substantial impact on the curriculum and its delivery,Plans; programs; reports; curriculum,"5.1  Curriculum, 5.1  Curriculum  GSR"
5.1.2,Teaching And Learning,Curriculum,Development And Delivery,,Routine development and delivery of curriculum and teaching materials.,"Curriculum content, revisions to units, syllabus, course notes, working papers, teaching methods, subject lists, handbooks, class programs, lesson guides","5.1  Curriculum, 5.1  Curriculum  GSR"
5.1.3,Teaching And Learning,Curriculum,Review,,Regular or specific review or evaluation of curriculum and its delivery ,Teacher observations,"5.1  Curriculum, 5.1  Curriculum  GSR"
5.1.4,Teaching And Learning,Curriculum,International Baccalaureate (Ib),,Management and delivery of the IB program and curriculum.,"Curriculum, program structure, teaching methods, subject lists, handbooks, class program, lesson guides","5.1  Curriculum, 5.1  Curriculum  GSR"
5.2,Teaching And Learning,Distance Education,Distance Education,,"Programlevel establishment and maintenance, including facilities, parent support.","Program structure, materials for parents, procedures",5.2  Distance Education
5.3.1,Teaching And Learning,Special Education,Programs,,Programlevel design and management,"Program design, plans, reports, lists of registered students, engagement of support services","5.3  Special Education, 5.3  Special Education  GSR"
5.3.2,Teaching And Learning,Special Education,Individual Students,,Management of individual students,"Student work plans, referrals, teacher observations","5.3  Special Education, 5.3  Special Education  GSR"
5.4.1,Teaching And Learning,High Potential Programs,Programs,,Programlevel design and management,"Program design, plans, reports, lists of registered students, engagement of support services","5.4  High Potential Programs, 5.4  High Potential Programs  GSR"
5.4.2,Teaching And Learning,High Potential Programs,Individual Students,,Management of individual students.,"Student work plans, referrals, teacher observations","5.4  High Potential Programs, 5.4  High Potential Programs  GSR"
5.5.1,Teaching And Learning,Learning Analytics,Aggregated Data And Analysis,,"Data collected and analysed that is used for routine reporting, predictive modelling, identifying gaps and opportunities for improvement.",,"5.5  Learning Analytics, 5.5  Learning Analytics  GSR"
5.5.2,Teaching And Learning,Learning Analytics,Individual Student ,,Data and analysis for individual students.,,"5.5  Learning Analytics, 5.5  Learning Analytics  GSR"
5.6,Teaching And Learning,Timetables,,,Establishment of class timetables.,,5.6  Timetables
5.7.1,Teaching And Learning,Examinations & Assessments,Summary Results  Qualifications,,"Summary of results for years 11 and 12, IB students, apprentices and trainees for each year.",,"5.7  Examinations & Assessments, 5.7  Examinations & Assessments  GSR"
5.7.2,Teaching And Learning,Examinations & Assessments,Summary Results  Other Years ,,Summary of results or examinations and assessments for years other than 11 and 12.,,"5.7  Examinations & Assessments, 5.7  Examinations & Assessments  GSR"
5.7.3,Teaching And Learning,Examinations & Assessments,Individual Students  Results,,"Record of individual student assessment and achievement, including student reports. Includes completion or partial completion of traineeships and apprenticeships.","Reports, results, statements of attainment, training contracts/agreements","5.7  Examinations & Assessments, 5.7  Examinations & Assessments  GSR"
5.7.4,Teaching And Learning,Examinations & Assessments,Certificates,,"Copies of certificates, academic transcripts given to students, parents or guardians.","Copies of certificates, academic transcripts or similar, requests for transcripts","5.7  Examinations & Assessments, 5.7  Examinations & Assessments  GSR"
5.7.5,Teaching And Learning,Examinations & Assessments,Arrangements,,"Administrative arrangements for setting, holding and supervision of examinations or other assessments, including examination/ assessment materials.","Timetables, exam sheets, test papers,  assignments, answer books, marking guides, supervision rosters, special consideration requests","5.7  Examinations & Assessments, 5.7  Examinations & Assessments  GSR"
6.1.1,Communications & Community Relations,Circulars And Instructions,Routine Internal,,"Routine internal staff notices and communications. For notices about significant events, use the relevant topic. ",,6.1  Circulars And Instructions
6.1.2,Communications & Community Relations,Circulars And Instructions,External ,,Circulars from the school including to parents/ guardians. ,,6.1  Circulars And Instructions
6.2.1,Communications & Community Relations,Publications,Production,,"Development, design and production of school publications. ","Designs, content, drafts, working papers, publication arrangements ",6.2  Publications
6.2.2,Communications & Community Relations,Publications,Publication,,Final copy of a school publication. ,"School magazine, year books, school histories, photographs, printed publications, web publications, audiotapes, films, videos, fliers, posters. ",6.2  Publications
6.3.1,Communications & Community Relations,Celebrations,Arrangements,,"Planning, arranging and facilitating events. ","Invitations, notifications of events, acceptances ",6.3  Celebrations
6.3.2,Communications & Community Relations,Celebrations,Record Of Event,,"Records of the event, produced for the event or as an outcome of the event. ","Photographs, recordings, speeches, programs, posters, advertising ",6.3  Celebrations
6.4.1,Communications & Community Relations,Visits To The School,Vip,,"Visits by eminent persons, e.g. royalty, minister of state, famous sports, entertainment or cultural people. ","Visitor books, photographs, speeches ",6.4  Visits To The School
6.4.2,Communications & Community Relations,Visits To The School,Arrangements,,Administrative arrangements for visits by VIPs and all other persons or organisations. ,"Visitor books, photographs, records of administrative and logistical arrangements ",6.4  Visits To The School
6.4.3,Communications & Community Relations,Visits To The School,Community Relations,,"Communication between the school and the wider community, including the media.  Includes marketing campaigns, open days, handling of public reaction to the school's policy or actions, addresses at public events, social media activities. ","Complaints, congratulations, speeches, programs, display materials, advertising. ",6.4  Visits To The School
7.1,School Related Groups,Governance,,,The Group's establishment and governance,"Constitution, rules/polices/procedures, minutes of meetings, reports to the school Council (or equivalent).",7.1  Governance
7.2,School Related Groups,Membership,,,Registers of Group members,Membership lists,7.2  Membership
7.3,School Related Groups,Activities,,,"Management of the Group's activities, e.g. planning and organising fund raising, reunions, commemorations.",,7.3  Activities
8.1.1,Spiritual Programs,Religious Ceremonies And Services,Religious Ceremonies And Services,,"Conduct of baptism, confirmation, marriage,
funeral and memorial ceremonies, and
religious services for the school and/or the
wider community.","Registers, indexes, lists of participants",8.1  Religious Ceremonies And Services
8.1.2,Spiritual Programs,Religious Ceremonies And Services,Arrangements,,Administrative arrangements for ceremonies and services.,,8.1  Religious Ceremonies And Services
9,Objects,Objects,,,"Material of high significance to the history of the school, e.g. formal group photographs, plaques, flags, trophies and newspaper cuttings, etc.",Formal group photographs; other photographs; newspaper cuttings,9  Objects
10,Ephemera,Ephemera,,,"Information that is of ephemeral or shortterm use, e.g. duplicate copies of material held for reference; information of short term facilitative value; working papers and drafts.","Copies that are not annotated; draft documents not needed once a final version has been produced; background notes, working papers and reference materials of no further use; copies of office notices",10  Ephemera
